Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Тесленко,Орхип,Ярославович,male,1972-09-18,Інженер з якості,село Миколаїв,"проспект Надіїі, буд. 459, Федорівка, 59333",+380 41 663 24 84,poberemko@example.org
Андрієнко,Станіслав,Ярославович,male,1941-01-06,Аудитор,хутір Сокаль,"узвіз Мукачівський, буд. 74 кв. 0, Привілля, 22310",+380 63 087-87-64,liliia32@example.com
Джунь,Ярослава,Леонідівна,female,1990-12-11,HR-менеджер,селище Гайворон,"шосе Лінія 33-тя, буд. 03 кв. 9, Долина , 40111",476-87-27,cvovk@example.net
Дробаха,Левко,Олегович,male,2001-12-14,Програміст,село Чорноморськ,"площа Брестська, буд. 56 кв. 535, Гайсин, 13625",+380 71 133-26-13,cvalenko@example.com
Колісниченко,Камілла,Леонідівна,female,1971-05-13,Фінансовий аналітик,місто Кіцмань,"парк Локальна, буд. 6 кв. 3, Кілія, 26139",077 878-03-60,kkorbut@example.net
Уманець,Ярина,Романівна,female,1955-07-04,Програміст,село Новгород-Сіверський,"площа Толбухіна, буд. 957, Городенка, 10483",+380 (91) 851-04-91,babychsvitlana@example.org
Христенко,Альбіна,Денисівна,female,1950-12-13,Тестувальник,село Перещепине,"вулиця Анни Ахматової, буд. 88, Алушта, 54435",+380 64 175-18-75,sbazavluchenko@example.org
Деркач,Сергій,Борисович,male,1944-09-05,Аналітик даних,селище Зеленодольськ,"узвіз Орловська, буд. 533 кв. 243, Хуст, 63296",+380 83 557-98-67,stepanprotsenko@example.org
Доценко,Йосип,Зеновійович,male,1954-07-19,Фінансовий аналітик,селище Гірське,"шосе Сирітський, буд. 93, Нововолинськ, 58707",+380 84 114 95 47,obarannyk@example.com
Микитюк,Анжела,Денисівна,female,1960-10-05,Асистент керівника,селище Новодружеськ,"проспект Москеті, буд. 65 кв. 3, Гребінка, 02272",+380 (58) 042-27-45,dmytrohohol-ianovskyi@example.net
Зінчук,Гаврило,Романович,male,1992-12-02,Тестувальник,село Підгайці,"парк Лінія 31-ша, буд. 574 кв. 96, Бахчисарай, 81355",+380 80 966-07-09,riaboshapkaiefrem@example.net
Гупало,Галина,Сергіївна,female,1956-04-17,Бухгалтер,місто Рожище,"набережна Скворцова, буд. 2 кв. 877, Миронівка, 40911",+380 65 766-19-86,somkoanastasiia@example.org
Базилевський,Прохір,Володимирович,male,1985-03-30,Бухгалтер,хутір Скадовськ,"площа Картамишевська, буд. 115 кв. 33, Кам'янське, 47217",+380 18 860-98-21,priskahaivoronskyi@example.net
Данилюк,Феофан,Михайлович,male,1957-04-13,Кадровий менеджер,селище Олександрівськ,"парк Сергія Уточкіна, буд. 1 кв. 112, Галич, 55126",077 030 31 08,mykolaiudovenko@example.net
Батуринець,Євген,Олексійович,male,2008-01-07,Дизайнер,селище Вуглегірськ,"провулок Український 2-й, буд. 822 кв. 27, Городенка, 54437",+380 70 503 92 16,kpelekh@example.com
Титаренко,Оксенія,Ярославівна,female,1988-10-04,Менеджер з маркетингу,село Зеленодольськ,"площа Марата, буд. 3, Переяслав, 47586",798 73 73,tereza94@example.net
Копитко,Миколай,Давидович,male,1998-11-19,Фінансовий аналітик,селище Новомиргород,"сквер Архітекторська, буд. 0 кв. 6, Дружба , 54216",+380 22 212-43-61,ebazylevskyi@example.net
Чуйко,Роман,Федорович,male,2002-08-20,Копірайтер,село Біла Церква,"узвіз Косовський, буд. 29, Пологи , 75454",+380 (73) 690-78-47,volodymyra89@example.org
Єрмоленко,Андрій,Геннадійович,male,1983-07-25,Аналітик даних,селище Харцизьк,"набережна Гімназична, буд. 972, Щастя , 42044",+380 80 441-52-06,vbezborodko@example.com
Джус,Азар,Романович,male,1966-09-26,Кадровий менеджер,хутір Хирів,"сквер Нікітіна, буд. 178 кв. 344, Гайсин, 23388",002 942-95-92,lubenetsruslan@example.org
Вергун,Леон,Тимофійович,male,1999-12-11,Асистент керівника,село Нікополь,"шосе Селекційна, буд. 212 кв. 52, Волочиськ, 72184",058 586-00-53,skoryklevko@example.com
Гайдамака,Руслан,Захарович,male,2000-10-08,PR-менеджер,селище Кам'янка-Дніпровська,"площа Прокатна, буд. 561 кв. 2, Золочів, 08175",+380 69 987-45-93,esalii@example.com
Гавришкевич,Лесь,Іванович,male,1978-07-15,Фінансовий аналітик,селище Угнів,"шосе Іванова, буд. 21 кв. 15, Мар'їнка, 44148",+380 (86) 070-25-43,bezditkoalina@example.org
Андрощук,Людмила,Олексіївна,female,1958-12-26,Програміст,село Сокиряни,"шосе Усатівська, буд. 56 кв. 41, Ізмаїл, 91711",099 485 83 87,kylymnykvolodymyr@example.org
Влох,Макар,Олександрович,male,1952-02-12,Дизайнер,селище Гребінка,"узвіз Деволанівський узвіз, буд. 4, Кременчук, 65989",+380 21 665-59-05,hzakharenko@example.com
Хоменко,Захар,Михайлович,male,1950-09-12,Менеджер з продукту,хутір Вознесенівка,"узвіз Макаренка, буд. 5, Білопілля, 23712",+380 95 562 51 67,rudkosofiia@example.com
Абраменко,Борислав,Петрович,male,1996-01-04,Менеджер з продажу,село Чернігів,"шосе Яблучна, буд. 145 кв. 80, Підгородне, 96457",+380 91 634-69-30,ivasiukmyroslav@example.net
Цибуленко,Ростислав,Марківич,male,1964-08-28,Кадровий менеджер,село Зіньків,"набережна Полуничний, буд. 87, Тульчин, 16589",021-10-60,rebrykvadym@example.org
Тягнибок,Кирило,Станіславович,male,2001-07-07,Менеджер з продукту,хутір Славутич,"площа Прокатна, буд. 10, Хрустальний, 95402",+380 42 740-59-98,isaievychroksolana@example.net
Савенко,Тереза,Борисівна,female,1939-09-20,Тестувальник,селище Борислав,"узвіз Сурикова, буд. 21 кв. 63, Судова Вишня, 52527",860-13-55,wtereshchenko@example.com
Зінченко,Павло,Павлович,male,1939-07-22,Менеджер з закупівель,хутір Ровеньки,"парк Чапаєва, буд. 104, Герца, 01167",038 070-90-92,demianchuksvitlana@example.org
Зайченко,Тереза,Максимівна,female,1945-03-26,Асистент керівника,село Помічна,"проспект Артилерійська, буд. 422 кв. 96, Лисичанськ, 68930",055 742 45 60,babramchuk@example.org
Андріїшин,Варвара,Григоріївна,female,1976-06-19,Копірайтер,село Остер ,"площа Леваневського, буд. 39, Любомль, 65044",014 712 86 00,stefanhaidamaka@example.org
Онуфрієнко,Роксолана,Данилівна,female,1990-02-02,Аналітик даних,хутір Новоселиця,"проспект Леваневського, буд. 3 кв. 41, Ладижин, 84973",038 470 17 23,iustym75@example.com
Охримович,Оксенія,Леонідівна,female,1991-06-06,Офіс-менеджер,хутір Люботин,"проспект Соляний 6-й, буд. 0 кв. 7, Луганськ, 03952",061 774-49-51,alevtyndrobiazko@example.com
Рябець,Богуслав,Олексійович,male,2007-04-05,Тестувальник,село Сімферополь,"шосе Нафтовиків 1-й, буд. 839, Кременець, 66271",245 40 43,spas28@example.org
Хорішко,Златослава,Юріївна,female,2000-01-06,Фінансовий аналітик,місто Кам'янець-Подільський,"сквер Комітетська, буд. 54, Соледар, 48174",+380 (29) 835-21-88,sdankevych@example.org
Охріменко,Лариса,Борисівна,female,1983-09-25,HR-менеджер,селище Бучач,"узвіз Гагаріна, буд. 40 кв. 50, Підгайці, 23182",+380 24 159-87-91,ydatsenko@example.org
Ващук,Камілла,Зеновіївна,female,1997-11-03,Програміст,село Ровеньки,"сквер Мала Садова, буд. 97, Красноперекопськ, 96327",982-45-70,makohonrostyslav@example.org
Гаврилишин,Марʼяна,Максимівна,female,1984-06-09,Інженер з якості,село Рівне,"парк Михайлівська, буд. 83 кв. 3, Збараж, 87554",308-04-98,okseniia54@example.org
Піддубний,Валерій,Ярославович,male,1975-09-23,Копірайтер,селище Остер ,"площа 12-та Суворовська, буд. 19 кв. 2, Ковель, 49133",062 586 83 20,illiapelekh@example.org
Гаврилишин,Сніжана,Петрівна,female,1958-07-26,Менеджер з продажу,місто Долинська,"узвіз Північна, буд. 7, Батурин, 33041",275-12-12,iemetsbohodar@example.org
Ґалаґан,Андрій,Федорович,male,1981-07-15,Архітектор,місто Полтава,"шосе Мінська, буд. 8 кв. 147, Скалат, 04860",+380 86 671-88-10,rostyslav50@example.com
Чайка,Панас,Данилович,male,1945-07-21,Програміст,село Южноукраїнськ,"сквер Ільфа і Петрова, буд. 8 кв. 385, Самбір, 01225",610-03-33,mykolaidanchuk@example.com
Даценко,Лілія,Юріївна,female,1967-07-06,Менеджер з продажу,селище Олевськ,"набережна Героїв оборони Одеси, буд. 5, Кадіївка, 63806",+380 20 892 37 15,viktoriiadashkevych@example.net
Жарко,Віолетта,Назарівна,female,1986-08-08,Асистент керівника,місто Буринь,"площа Сурикова 1-й, буд. 046 кв. 68, Кіцмань, 29882",+380 03 310-80-27,kyrylo54@example.com
Пелех,Емілія,Петрівна,female,2006-04-15,HR-менеджер,місто Генічеськ,"шосе Ананьївська, буд. 4 кв. 8, Монастирище, 79844",+380 87 430 55 76,tetianadurdynets@example.org
Чекалюк,Веніямин,Кирилович,male,1958-11-13,Офіс-менеджер,хутір Скалат,"узвіз Лінія 28-ма, буд. 85, Покровськ, 90528",+380 63 923-75-94,yriabovil@example.org
Чайка,Лукʼян,Олексійович,male,1996-02-18,Аналітик даних,хутір Нова Одеса,"вулиця Восьмого березня 6-й, буд. 10 кв. 249, Нетішин, 22238",+380 08 293-70-22,valentyn81@example.net
Коваленко,Сніжана,Костянтинівна,female,1961-10-09,Менеджер з маркетингу,селище Красногорівка,"площа Шишкіна, буд. 4, Нова Каховка, 66237",084 336-35-96,havrylonikoliuk@example.org
Оліфіренко,Людмила,Борисівна,female,1998-03-14,Програміст,село Географія Вільнянська,"вулиця Думська, буд. 781 кв. 5, Скадовськ, 01527",020 678 42 20,levko81@example.com
Дашенко,Алла,Захарівна,female,1941-04-05,Кадровий менеджер,місто Часів Яр,"узвіз Тульська, буд. 40 кв. 4, Бар, 31722",015 716-28-90,leopold95@example.org
Скорик,Леонід,Марківич,male,1981-11-23,Програміст,селище Джанкой,"площа Ланжеронівський узвіз, буд. 81 кв. 7, Покров, 84861",+380 28 473-89-90,albina02@example.net
Філіпенко,Йосип,Назарович,male,1962-11-27,Копірайтер,село Белз,"площа Виноградна 2-га, буд. 5 кв. 60, Новоукраїнка, 89579",311-97-97,oleh70@example.net
Адамчук,Емілія,Станіславівна,female,1996-04-08,Аналітик даних,місто Винники,"провулок Аеропортівський 4-й, буд. 12 кв. 1, Родинське, 63694",+380 (98) 345-71-48,tetianaatroshchenko@example.org
Шаповал,Орхип,Максимович,male,1949-07-31,Тестувальник,місто Сєвєродонецьк,"парк Рівності, буд. 941 кв. 7, Алушта, 26029",+380 (24) 262-78-14,giakovenko@example.org
Чміль,Лариса,Тарасівна,female,1945-02-23,Бухгалтер,місто Сімферополь,"набережна Дзвінка, буд. 29 кв. 03, Заліщики, 99530",+380 55 885-75-61,umanetstaras@example.org
Цимбалюк,Вʼячеслав,Захарович,male,1959-04-28,Системний адміністратор,місто Нетішин,"шосе Академіка Панкратової, буд. 16 кв. 44, Зоринськ, 53791",010 877-88-40,androshchukadam@example.org
Редько,Святослава,Захарівна,female,2005-08-20,Асистент керівника,село Новомиргород,"шосе Хімічний 2-й, буд. 79, Новогродівка, 27216",025 120-55-84,pzasukha@example.org
Валенко,Дмитро,Юрійович,male,1971-12-20,Фінансовий аналітик,село Золочів,"узвіз Квітнева, буд. 606, Кропивницький, 16851",+380 (30) 198-18-35,dashkevychillia@example.net
Щербань,Веніямин,Леонідович,male,1943-02-20,HR-менеджер,місто Горлівка,"площа Ракетна, буд. 4 кв. 0, Баштанка, 79798",054 302 01 83,xdrozdenko@example.org
Приходько,Михайлина,Петрівна,female,1982-12-14,Менеджер з закупівель,хутір Біла Церква,"провулок Академіка Вільямса, буд. 143, Ужгород, 63392",+380 66 108-91-74,adaartymovych@example.org
Макаренко,Ада,Назарівна,female,1940-06-12,Менеджер з продажу,хутір Іршава,"сквер Дежньова, буд. 772, Герца, 01801",+380 58 726-74-04,iakivmalyk@example.org
Шеремета,Демʼян,Станіславович,male,1999-05-14,Тестувальник,село Вашківці,"узвіз Віри Інбер, буд. 76 кв. 300, Тернопіль, 09596",082 342 77 18,mvivcharenko@example.net
Іваненко,Ілля,Вікторович,male,1955-07-26,HR-менеджер,місто Мукачево,"парк Щіпний, буд. 912 кв. 044, Снятин, 76721",282 15 94,serhii58@example.org
Масляк,Орина,Володимирівна,female,1958-11-30,Аналітик даних,місто Болград,"сквер 2-й Академічний тупик, буд. 37 кв. 26, Кремінна, 44110",+380 92 942-15-86,veniiamyn77@example.org
Чаленко,Макар,Олексійович,male,1994-02-05,Копірайтер,хутір Рені,"провулок Далекосхідна, буд. 8 кв. 6, Костопіль, 31786",+380 (27) 447-13-90,gtereshchuk@example.com
Піддубний,Леон,Володимирович,male,1938-11-16,Програміст,хутір Долинська,"площа Маршала Говорова, буд. 501 кв. 8, Надвірна, 16804",040 411 09 49,cvatamaniuk@example.org
Алексеєнко,Юстина,Іванівна,female,1942-12-14,HR-менеджер,хутір Молодогвардійськ,"вулиця Скляний 1-й, буд. 47, Білозерське, 35402",+380 45 725-49-54,demianiukpanas@example.com
Палій,Зорян,Назарович,male,2005-06-28,Системний адміністратор,село Старий Крим,"площа Академіка Сахарова, буд. 573 кв. 2, Чортків, 15496",564-94-41,iorlyk@example.com
Терещенко,Євген,Мар'янович,male,1976-01-08,Дизайнер,село П'ятихатки,"вулиця Просвіти, буд. 6 кв. 06, Кадіївка, 09837",042 755-61-31,onysymzaruba@example.org
Заруба,Соломія,Вікторівна,female,2001-12-04,Інженер з якості,місто Жидачів,"провулок Офіцерський 1-й, буд. 8 кв. 697, Кропивницький, 30575",+380 41 089-22-20,eartemenko@example.net
Наливайко,Борислав,Тарасович,male,1993-09-28,Аудитор,місто Дебальцеве,"провулок Восьмого березня 3-й, буд. 46 кв. 9, Шостка, 01338",060 954 12 69,dakhnoleontii@example.com
Козаченко,Христина,Марківна,female,1942-03-18,Менеджер з продукту,село Молочанськ,"вулиця Восьмого Березня Лінія 3-тя, буд. 3, Бобринець, 05508",255 87 55,panteleimoniurchuk@example.net
Проценко,Опанас,Григорійович,male,2000-06-04,HR-менеджер,місто Лубни,"провулок Газова, буд. 918, Овруч, 89813",+380 99 441-67-93,bohdanudovenko@example.com
Пилипенко,Мартин,Тарасович,male,1991-07-03,Менеджер з маркетингу,місто Щастя ,"проспект Вєтрова, буд. 407, Інкерман, 32461",+380 (17) 975-78-51,holoborodkoboryslav@example.net
Ємець,Святослава,Василівна,female,1990-11-20,Менеджер з продукту,село Новоселиця,"узвіз Серединський, буд. 45 кв. 80, Першотравенськ, 51983",040 254 69 62,varfolomii62@example.net
Єрьоменко,Еріка,Давидівна,female,1992-04-27,Дизайнер,селище Покровськ,"площа Марії Демченко, буд. 36 кв. 9, Кальміуське, 02268",027 640-65-64,ustym57@example.net
Товстуха,Руслан,Максимович,male,1958-12-14,Системний адміністратор,місто Малин,"площа Косвена, буд. 3 кв. 73, Заліщики, 09040",+380 (69) 692-17-38,gtkach@example.com
Дубас,Тимофій,Михайлович,male,1943-02-25,Інженер з якості,хутір Світлодарськ,"площа Лінія 44-та, буд. 4 кв. 408, Гадяч, 09086",065 216-13-87,iaremahabelko@example.net
Рябець,Владислав,Станіславович,male,1991-08-16,Менеджер з закупівель,селище Рудки,"вулиця Виноградний, буд. 573, Новомосковськ, 77497",+380 74 946-76-45,yhaidai@example.org
Бандура,Руслан,Михайлович,male,1939-04-23,Аудитор,село Вознесенськ,"шосе Героїв прикордонників, буд. 2, Коростень, 24814",051 841-43-88,hordii17@example.com
Алексійчук,Теодор,Денисович,male,1958-11-17,Менеджер з продукту,хутір Баштанка,"вулиця Тупиковий, буд. 33 кв. 797, Вишневе , 07682",+380 22 193 27 56,les60@example.com
Алексеєнко,Людмила,Данилівна,female,2000-12-20,Менеджер з продукту,місто Городище ,"провулок Танфільєва, буд. 739, Дубляни, 84273",062 761-86-08,boryslav94@example.net
Негода,Аніта,Романівна,female,1950-03-02,Фінансовий аналітик,хутір Новоселиця,"вулиця Жаботинського, буд. 6, Вишгород, 04499",+380 (68) 632-71-09,bkorolenko@example.net
Лазаренко,Станіслав,Михайлович,male,1976-08-07,Системний адміністратор,місто Добропілля,"вулиця Кустанайський 2-й, буд. 240, Немирів, 28785",062 097-78-77,symon15@example.org
Остапчук,Пармен,Петрович,male,1978-10-17,Менеджер з закупівель,місто Мена ,"шосе Тепла, буд. 93, Вознесенівка, 99201",013-14-26,mprokopovych@example.com
Стус,Павло,Ярославович,male,1989-06-17,Системний адміністратор,селище Підгайці,"шосе Байдарочний, буд. 8, Полтава, 08661",905 74 03,tartymovych@example.org
Макогон,Тереза,Григоріївна,female,2000-08-18,Менеджер з продажу,село Мелітополь,"проспект Степана Олійника узвіз, буд. 6, Рубіжне, 81933",+380 38 231-15-10,kkhomenko@example.net
Гресь,Юхим,Романович,male,1954-10-06,HR-менеджер,місто Ватутіне,"узвіз Лиманний, буд. 20 кв. 8, Ізюм, 38138",+380 (53) 110-71-14,aleksiichukvalerii@example.net
Іванченко,Болеслав,Олександрович,male,1944-08-01,Асистент керівника,місто Ялта,"провулок Кондренка, буд. 676 кв. 49, Авдіївка, 76521",+380 (31) 604-00-76,filipenkoihnat@example.com
Дзиндра,Леопольд,Ігорович,male,1975-07-14,Офіс-менеджер,селище Лубни,"набережна Пестеля, буд. 35 кв. 9, Новомосковськ, 25581",860 77 41,gzinchuk@example.net
Опанасенко,Симон,Станіславович,male,1991-11-19,Тестувальник,селище Заводське,"узвіз Лізи Чайкіної, буд. 837 кв. 22, Харцизьк, 79473",685 13 47,emiliia70@example.net
Василечко,Пилип,Михайлович,male,1955-04-15,Менеджер з маркетингу,місто Прип'ять ,"площа Міцкевича, буд. 838 кв. 60, Хоростків, 56294",+380 (44) 292-88-72,zarubaliliia@example.com
Андрійчук,Теодор,Андрійович,male,1942-02-03,Фінансовий аналітик,селище Золочів,"парк Городня, буд. 40, Березівка, 89742",+380 38 102-89-97,viktorriabovil@example.com
Власюк,Геннадій,Леонідович,male,2002-02-03,Менеджер з маркетингу,село Бершадь,"парк Маланова, буд. 504 кв. 39, Заліщики, 49441",021 628-26-26,cshakhrai@example.net
Охріменко,Марʼяна,Геннадіївна,female,1950-06-07,Архітектор,хутір Скалат,"набережна Березовий, буд. 06 кв. 69, Новогродівка, 48294",+380 52 579 95 97,khorishkolevko@example.org
Їжакевич,Іван,Федорович,male,1952-03-06,PR-менеджер,місто Привілля,"провулок Некрасова, буд. 42 кв. 385, Марганець , 47992",030 462-21-57,oles41@example.org
Дробʼязко,Герман,Михайлович,male,2008-04-22,Менеджер з продукту,хутір Герца,"шосе Єлисаветградський, буд. 49 кв. 5, Ізяслав, 17354",+380 11 357-43-99,ieroshenkoillia@example.net
Микитюк,Камілла,Тимофіївна,female,1966-04-24,Тестувальник,село Герца,"площа Архітектурна, буд. 747, Бурштин , 84254",308 04 72,vira74@example.net
Оніщук,Володимира,Борисівна,female,1948-01-17,Тестувальник,селище Шумськ,"шосе Степана Разіна, буд. 503, Борзна, 16036",099 370 31 15,orysia19@example.net
Шморгун,Макар,Станіславович,male,1947-10-04,HR-менеджер,село Ужгород,"площа Травневий, буд. 081 кв. 2, Шепетівка, 31966",098 698 93 24,fatamanchuk@example.net
Карпенко,Георгій,Володимирович,male,1960-07-19,Офіс-менеджер,селище Новий Буг,"вулиця Нескучна, буд. 59, Нове Давидково, 58428",+380 91 190-05-54,solomiia46@example.net
